x,y,width,height,result
0.6298077,0.7596154,0.1033654,0.1754808,56
0.2956731,0.6730769,0.1298077,0.1538462,55
0.6754808,0.7764423,0.1225962,0.1778846,1
0.625,0.2355769,0.1105769,0.1730769,0
0.3293269,0.2403846,0.1177885,0.1826923,11
0.3509615,0.2980769,0.1129808,0.1442308,51
0.21875,0.7043269,0.1514423,0.1490385,15
0.3822115,0.06971154,0.1033654,0.2163462,24
0.5408654,0.4927885,0.08173077,0.0985577,60
0.4903846,0.4951923,0.08413462,0.1081731,61
0.1682692,0.7403846,0.1682692,0.1538462,15
0.9278846,0.4230769,0.1899038,0.1322115,25
0.6923077,0.7235577,0.1274038,0.15625,41
0.7620192,0.8533654,0.1442308,0.1826923,21
0.78125,0.4711539,0.1538462,0.09615385,45
0.0673077,0.5144231,0.1947115,0.0889423,30
0.90625,0.7043269,0.1826923,0.15625,29
0.2620192,0.8653846,0.1394231,0.1971154,26
0.8870192,0.6899039,0.1826923,0.1682692,29
0.8557692,0.7572116,0.1682692,0.1490385,34
0.7091346,0.0985577,0.1346154,0.2163462,37
0.2091346,0.5264423,0.1514423,0.0889423,10
0.3629808,0.8966346,0.1129808,0.1875,38
0.2427885,0.5024039,0.1418269,0.09134615,50
0.2475962,0.46875,0.1394231,0.1033654,50
0.875,0.7427884,0.1826923,0.1754808,34
0.3076923,0.1346154,0.1225962,0.2163462,24
0.4903846,0.4663461,0.07932692,0.1298077,61
0.8725961,0.2740385,0.1754808,0.1538462,23
0.7644231,0.4543269,0.1466346,0.1177885,45
0.2716346,0.1418269,0.1346154,0.1971154,31
0.6418269,0.1057692,0.1105769,0.2259615,20
0.2379808,0.4615385,0.1394231,0.1129808,53
0.6177884,0.5625,0.1057692,0.1322115,14
0.1394231,0.2524039,0.1682692,0.1442308,28
0.4903846,0.2355769,0.07932692,0.1706731,59
0.4038461,0.7692308,0.0985577,0.1610577,58
0.1442308,0.2548077,0.1754808,0.1610577,28
0.4759615,0.78125,0.08653846,0.1923077,42
0.7115384,0.3245192,0.1322115,0.1418269,43
0.4879808,0.8173077,0.08413462,0.1706731,2
0.6802884,0.2884615,0.1225962,0.1418269,57
0.7307692,0.5600961,0.1370192,0.1201923,9
0.07211538,0.5769231,0.1899038,0.1129808,30
0.7355769,0.6274039,0.1394231,0.125,54
0.21875,0.1442308,0.1490385,0.2163462,31
0.2644231,0.3677885,0.1346154,0.1394231,53
0.1634615,0.5673077,0.1658654,0.1033654,7
0.7475961,0.1490385,0.1370192,0.1754808,37
0.46875,0.1033654,0.08653846,0.2091346,19
0.1826923,0.6322116,0.15625,0.1490385,7
0.4567308,0.05528846,0.07932692,0.2259615,39
0.1346154,0.7259616,0.1730769,0.1394231,35
0.3221154,0.2932692,0.1225962,0.1610577,51
0.8197116,0.2211538,0.1634615,0.1658654,23
0.6538461,0.8173077,0.1105769,0.1947115,16
0.6538461,0.2644231,0.1153846,0.1730769,57
0.8461539,0.2644231,0.1706731,0.1418269,23
0.7139423,0.6610577,0.125,0.1177885,54
0.2283654,0.7379808,0.1466346,0.1586538,15
0.2475962,0.5649039,0.1442308,0.1225962,47
0.6850961,0.9086539,0.1177885,0.2307692,36
0.1298077,0.2956731,0.1706731,0.1490385,28
0.4759615,0.2355769,0.08653846,0.1586538,59
0.6418269,0.6706731,0.1105769,0.15625,1
0.2163462,0.8341346,0.1490385,0.1947115,26
0.1081731,0.3653846,0.1802885,0.1322115,33
0.5721154,0.2427885,0.09375,0.1682692,40
0.6826923,0.25,0.1225962,0.1442308,17
0.6875,0.3293269,0.1225962,0.1466346,43
0.5384616,0.2283654,0.07692308,0.1706731,59
0.1177885,0.34375,0.1802885,0.1346154,33
0.4326923,0.9471154,0.08653846,0.2379808,38
0.1274038,0.6682692,0.1802885,0.1466346,27
0.2451923,0.4591346,0.1466346,0.1225962,53
0.2716346,0.3990385,0.1346154,0.1201923,53
0.3966346,0.2596154,0.0985577,0.1538462,44
0.1778846,0.2451923,0.1682692,0.1899038,28
0.2307692,0.5336539,0.1514423,0.1105769,50
0.3389423,0.6514423,0.1153846,0.1274038,15
0.1947115,0.7932692,0.15625,0.1730769,35
0.2980769,0.8629808,0.1274038,0.2139423,26
0.6802884,0.7115384,0.125,0.1706731,41
0.5841346,0.875,0.09375,0.2163462,16
0.5745192,0.8197116,0.09134615,0.2043269,16
0.6634616,0.6706731,0.1177885,0.1346154,1
0.3725961,0.8557692,0.1057692,0.2019231,18
0.4230769,0.3004808,0.0889423,0.1418269,4
0.6033654,0.2331731,0.1033654,0.1802885,40
0.2139423,0.1730769,0.1490385,0.1826923,31
0.2475962,0.4807692,0.1418269,0.1057692,50
0.5697116,0.1490385,0.0889423,0.2115385,0
0.5673077,0.08173077,0.09375,0.1947115,39
0.2716346,0.3942308,0.1370192,0.1033654,53
0.7451923,0.2572115,0.1442308,0.1802885,3
0.9014423,0.6298077,0.1826923,0.1394231,29
0.2307692,0.5865384,0.1466346,0.1298077,7
0.15625,0.4254808,0.1730769,0.1129808,13
0.8221154,0.3100961,0.1634615,0.1370192,3
0.7235577,0.5865384,0.1322115,0.1153846,9
0.7211539,0.3461539,0.1346154,0.1394231,43
0.6298077,0.9014423,0.1033654,0.1923077,36
0.7644231,0.1923077,0.1418269,0.15625,17
0.1682692,0.2668269,0.1634615,0.1418269,28
0.25,0.2427885,0.1370192,0.1394231,11
0.40625,0.7548077,0.0985577,0.1730769,58
0.8894231,0.3052885,0.1802885,0.1682692,32
0.4134615,0.1009615,0.09134615,0.1923077,24
0.4326923,0.9326923,0.0889423,0.1995192,38
0.2355769,0.5552884,0.1490385,0.1081731,47
0.6899039,0.6370192,0.1274038,0.1394231,14
0.3173077,0.2716346,0.1177885,0.1586538,11
0.7355769,0.6274039,0.1322115,0.1009615,54
0.6177884,0.3125,0.1081731,0.1610577,17
0.4158654,0.71875,0.0985577,0.1586538,18
0.6995192,0.6346154,0.1225962,0.1057692,14
0.9254808,0.4399039,0.1875,0.1225962,25
0.59375,0.2283654,0.09615385,0.1634615,40
0.4350961,0.7524039,0.0889423,0.1850962,58
0.6033654,0.25,0.09615385,0.1586538,40
0.2572115,0.3870192,0.1442308,0.1274038,53
0.3004808,0.3581731,0.1298077,0.1298077,48
0.3870192,0.2572115,0.0985577,0.1490385,44
0.4639423,0.2572115,0.07932692,0.1610577,59
0.78125,0.4879808,0.1466346,0.1201923,45
0.1706731,0.5192308,0.1682692,0.125,10
0.5913461,0.9326923,0.09134615,0.2283654,36
0.4831731,0.5264423,0.08173077,0.1153846,60
0.40625,0.4423077,0.0985577,0.1009615,8
0.8509616,0.5745192,0.1706731,0.1153846,9
0.6274039,0.5697116,0.1057692,0.09615385,9
0.4591346,0.5745192,0.08653846,0.1418269,6
0.6754808,0.6514423,0.1177885,0.1201923,14
0.7331731,0.3581731,0.1394231,0.1538462,43
0.8197116,0.4182692,0.15625,0.1057692,12
0.6995192,0.3197115,0.1225962,0.1466346,43
0.2716346,0.75,0.1394231,0.1682692,15
0.1802885,0.3149039,0.1610577,0.1538462,8
0.4302885,0.2403846,0.0889423,0.1466346,44
0.9230769,0.3533654,0.1947115,0.1442308,32
0.5216346,0.9447116,0.08653846,0.2355769,22
0.2668269,0.6370192,0.1394231,0.1177885,55
0.3894231,0.7668269,0.1033654,0.1682692,58
0.8990384,0.3653846,0.1850962,0.1177885,32
0.4807692,0.2475962,0.08173077,0.1514423,59
0.5456731,0.7283654,0.07692308,0.1322115,2
0.4639423,0.9471154,0.08173077,0.2451923,22
0.3798077,0.6322116,0.1009615,0.1177885,15
0.2740385,0.8653846,0.1370192,0.1875,26
0.8918269,0.6706731,0.1826923,0.1346154,29
0.9206731,0.4423077,0.1875,0.08653846,25
0.5048077,0.6177884,0.08413462,0.1490385,2
0.5961539,0.4326923,0.09615385,0.1057692,3
0.6322116,0.25,0.1105769,0.1610577,57
0.6995192,0.8846154,0.1225962,0.1899038,36
0.28125,0.8629808,0.1346154,0.2163462,26
0.3076923,0.9206731,0.125,0.2355769,26
0.6923077,0.7211539,0.1225962,0.1682692,41
0.3221154,0.2836539,0.1225962,0.1514423,51
0.3557692,0.2980769,0.1129808,0.1682692,51
0.2331731,0.2139423,0.1490385,0.1995192,31
0.2620192,0.1682692,0.1394231,0.1658654,31
0.7692308,0.4471154,0.1442308,0.1057692,52
0.4927885,0.5024039,0.07932692,0.08173077,60
0.1730769,0.5120192,0.1634615,0.1177885,10
0.4182692,0.65625,0.0985577,0.1586538,6
0.5985577,0.05288462,0.1009615,0.2451923,20
0.2427885,0.5024039,0.1394231,0.08653846,50
0.3149039,0.6850961,0.1225962,0.1394231,55
0.2355769,0.5961539,0.1442308,0.1346154,47
0.0889423,0.5072116,0.1923077,0.1057692,30
0.5649039,0.05048077,0.08653846,0.2355769,39
0.7475961,0.1442308,0.1394231,0.1826923,37
0.09134615,0.5216346,0.1826923,0.09134615,30
0.3629808,0.09134615,0.1105769,0.1899038,24
0.3149039,0.1995192,0.125,0.1850962,11
0.2836539,0.1658654,0.1274038,0.1610577,11
0.8028846,0.8269231,0.1610577,0.1850962,21
0.4879808,0.5168269,0.07692308,0.0889423,61
0.3581731,0.3028846,0.1081731,0.1658654,51
0.6610577,0.1322115,0.1153846,0.21875,20
0.28125,0.3581731,0.1274038,0.1129808,48
0.15625,0.5576923,0.1682692,0.0985577,10
0.2860577,0.3485577,0.1346154,0.1490385,48
0.1995192,0.4519231,0.1514423,0.09375,13
0.6322116,0.07211538,0.1105769,0.2379808,20
0.1129808,0.6634616,0.1778846,0.1538462,27
